source,fixture_id,market,selection,prediction_timestamp,kickoff_timestamp,dixon_coles_probability,market_fair_probability,edge,raw_ev,odds,league_id,home_ft_count,away_ft_count,used_default_lambda,home_lambda,away_lambda,feature_quality,hours_to_kickoff,old_confidence,outcome,daily_pick_id
current_bot,1494707,over_under,Under 2.5,2026-07-18 05:33:40.752955,2026-07-18 16:00:00,0.5254933453902277,0.1944412097614937,0.33105213562873403,0.5134208347238558,2.88,103,10,11,False,,,0.35,10.438679734722221,0.55,lose,102
current_bot,1494702,over_under,Under 2.5,2026-07-18 05:33:40.752955,2026-07-18 14:00:00,0.6008725410673231,0.2695970653209349,0.3312754757463882,0.35797194281215017,2.26,103,12,12,False,,,0.35,8.438679734722223,0.55,win,103
current_bot,1499995,match_winner,Away,2026-07-18 05:33:40.752955,2026-07-18 18:00:00,0.25618375931065135,0.1662973284390148,0.08988643087163656,0.2104682627428276,4.725,132,12,12,False,,,0.35,12.438679734722221,0.7234263665488107,lose,104
current_bot,1494703,over_under,Under 2.5,2026-07-18 05:33:40.752955,2026-07-18 14:00:00,0.5662358929502247,0.26964558701828967,0.296590305931935,0.20891363144872965,2.135,103,10,10,False,,,0.35,8.438679734722223,0.08741444328635373,lose,105
current_bot,1494705,over_under,Under 2.5,2026-07-18 05:33:40.752955,2026-07-18 14:00:00,0.5009445976818281,0.28628214638649013,0.21466245129533795,0.031945871224565714,2.0599999999999996,103,11,11,False,,,0.35,8.438679734722223,0.3395001498604987,lose,106
current_bot,1494701,over_under,Under 2.5,2026-07-18 05:33:40.752955,2026-07-18 12:00:00,0.5886679816305381,0.31846884839269146,0.27019913323784667,0.030168967853441808,1.75,103,11,25,False,,,0.35,6.438679734722222,0.16861805157585652,lose,107
botposlednji1,1589418,over_under,Under 2.5,2026-07-21 04:13:11.353387,2026-07-21 16:00:00,0.4241116146166556,0.23222543755798605,0.19188617705866953,0.039073455810806346,2.45,2,0,2,False,,,0.35,11.780179614722222,0.1043807226965292,lose,75
botposlednji1,1556504,over_under,Under 2.5,2026-07-21 04:13:11.353387,2026-07-21 18:00:00,0.47509974391386656,0.2731223474675327,0.20197739644633383,0.03571744173222924,2.18,2,0,0,False,,,0.35,13.780179614722222,0.04447973480573597,win,76
botposlednji1,1591934,match_winner,Draw,2026-07-21 04:13:11.353387,2026-07-21 18:45:00,0.32792194974768357,0.1243691916284175,0.20355275811926607,0.03295414170520328,3.15,2,0,0,False,,,0.35,14.530179614722222,0.10282274584369566,win,77
botposlednji1,1556501,match_winner,Draw,2026-07-21 04:13:11.353387,2026-07-21 17:00:00,0.33143317360387936,0.12154817701262771,0.20988499659125165,0.027442838172025974,3.1,2,0,0,False,,,0.35,12.780179614722222,0.11958555349775035,lose,78
botposlednji1,1593486,over_under,Under 2.5,2026-07-21 04:13:11.353387,2026-07-21 17:00:00,0.4601438753002751,0.2526621487739085,0.2074817265263666,0.02151940316661083,2.22,848,0,1,False,,,0.35,12.780179614722222,0.2074757987080943,lose,79
botposlednji1,1556521,match_winner,Draw,2026-07-22 16:34:28.622445,2026-07-22 18:30:00,0.3339509842120999,0.12323706947934988,0.21071391473275003,0.03524805105750972,3.1,848,0,0,False,,,0.35,1.9253826541666668,0.129382113591747,win,80
botposlednji1,1593477,over_under,Under 2.5,2026-07-22 16:34:28.622445,2026-07-22 17:45:00,0.41950706439633795,0.21002910340206338,0.20947796099427457,0.027792307771028035,2.45,848,0,1,False,,,0.35,1.1753826541666668,0.11992786990800819,win,81
botposlednji1,1593478,over_under,Under 2.5,2026-07-23 04:17:33.476582,2026-07-23 17:00:00,0.4724446852298074,0.2613822847209447,0.2110624005088627,0.03937830750557647,2.2,848,0,0,False,,,0.35,12.70736761611111,0.05407795161383877,win,82
botposlednji1,1556514,over_under,Under 2.5,2026-07-23 04:17:33.476582,2026-07-23 16:00:00,0.4611438671857122,0.24338685153964545,0.21775701564606675,0.037573701167852525,2.25,848,0,0,False,,,0.35,11.70736761611111,0.036368799763793924,lose,83
botposlednji1,1556518,over_under,Under 2.5,2026-07-23 04:17:33.476582,2026-07-23 18:00:00,0.4665884078441866,0.2478356950562831,0.21875271278790348,0.031160381335652243,2.21,848,0,0,False,,,0.35,13.70736761611111,0.050249483923683,lose,84
botposlednji1,1556510,over_under,Under 2.5,2026-07-23 04:17:33.476582,2026-07-23 17:45:00,0.4502310244938783,0.22026917751613506,0.22996184697774325,0.02652673584604237,2.28,848,0,0,False,,,0.35,13.45736761611111,0.02629415122089218,lose,85
botposlednji1,1591942,over_under,Under 2.5,2026-07-23 04:17:33.476582,2026-07-23 18:30:00,0.4496239968238289,0.25244647203221776,0.19717752479161116,0.020646472790091686,2.27,848,0,1,False,,,0.35,14.20736761611111,0.1749827565535199,lose,86
botposlednji1,1556516,over_under,Under 2.5,2026-07-23 04:17:33.476582,2026-07-23 18:30:00,0.4685902688069712,0.23629911800907347,0.23229115079789772,0.007469077934987967,2.15,848,0,0,False,,,0.35,14.20736761611111,0.07173703979859425,win,87
botposlednji1,1593490,over_under,Under 2.5,2026-07-23 05:03:55.300289,2026-07-23 18:45:00,0.44616670532762065,0.23613083784800068,0.21003586747961997,0.0038750869871464477,2.25,848,0,1,False,,,0.35,13.684638808611112,0.18241543747303568,win,88
botposlednji1,1593484,match_winner,Draw,2026-07-23 05:03:55.300289,2026-07-23 16:30:00,0.1889487906893623,0.0949952715938421,0.09395351909552019,0.0014285906536202209,5.3,848,0,1,False,,,0.35,11.434638808611112,0.6449297859952956,lose,89
botposlednji1,1593485,match_winner,Draw,2026-07-23 05:03:55.300289,2026-07-23 17:00:00,0.16670133272794663,0.08332656551985271,0.08337476720809392,0.0002079963676797636,6.0,848,1,0,False,,,0.35,11.934638808611112,0.7025020688024272,lose,90
current_bot,1500011,match_winner,Away,2026-07-25 05:53:03.764762,2026-07-25 18:00:00,0.24328918772691782,0.12945569534263335,0.11383349238428447,0.4487871129137957,5.955,132,12,12,False,,,0.35,12.115620899444444,0.6497431003560478,lose,110
current_bot,1500008,match_winner,Away,2026-07-25 05:53:03.764762,2026-07-25 16:00:00,0.2520553845790878,0.154501972063119,0.09755341251596883,0.25397553828096187,4.975,132,12,13,False,,,0.35,10.115620899444444,0.6998356537970191,win,111
current_bot,1494712,over_under,Under 2.5,2026-07-25 05:53:03.764762,2026-07-25 14:00:00,0.5900557636949658,0.2814315613321579,0.3086242023628079,0.23911710375942818,2.1,103,13,12,False,,,0.35,8.115620899444444,0.05038706965289885,lose,112
current_bot,1492308,over_under,Under 2.5,2026-07-25 05:53:03.764762,2026-07-25 21:30:00,0.5598513449345699,0.23773720235796234,0.32211414257660753,0.20927890505867097,2.16,71,10,11,False,,,0.35,15.615620899444444,0.008879561302746142,lose,113
current_bot,1500182,match_winner,Away,2026-07-25 05:53:03.764762,2026-07-25 18:00:00,0.26185796165612474,0.18250933514036732,0.07934862651575741,0.09980343895572386,4.2,132,12,12,False,,,0.35,12.115620899444444,0.7558503799515157,win,114
current_bot,1492309,over_under,Under 2.5,2026-07-25 05:53:03.764762,2026-07-25 23:30:00,0.5678701711118437,0.2606481342930304,0.30722203681881327,0.007969553723522482,1.775,71,10,10,False,,,0.35,17.615620899444444,0.054701425172882234,win,115
